"","Rank","Player","POS","Team","PosRank","AVGRank","AVGTier","Siegele5.27","Patrick5.1"
"41",41,"T.J. Hockenson","TE","MIN",3,42,3,35,49
"42",42,"Christian Watson","WR","GB",18,42.5,3,42,43
"43",43,"Rhamondre Stevenson","RB","NE",8,43,3,38,48
"44",44,"Dak Prescott","QB","DAL",15,43,3,49,37
"45",45,"Travis Etienne","RB","JAC",9,45,3,43,47
"46",46,"Quentin Johnston","WR","LAC",19,46,3,51,41
"47",47,"Davante Adams","WR","LV",20,47.5,3,62,33
"48",48,"Kenneth Walker","RB","SEA",10,48,3,41,55
"49",49,"Jordan Addison","WR","MIN",21,49.5,3,54,45
"50",50,"Austin Ekeler","RB","LAC",11,50,3,50,50
"51",51,"Treylon Burks","WR","TEN",22,50.5,4,57,44
"52",52,"Tua Tagovailoa","QB","MIA",16,52.5,3,46,59
"53",53,"Mark Andrews","TE","BAL",4,53,4,55,51
"54",54,"George Pickens","WR","PIT",23,54.5,3,44,65
"55",55,"Tony Pollard","RB","DAL",12,56.5,4,60,53
"56",56,"J.K. Dobbins","RB","BAL",13,56.5,4,59,54
"57",57,"Chris Godwin","WR","TB",24,57,3,47,67
"58",58,"Deebo Samuel","WR","SF",25,58,3,52,64
"59",59,"Jameson Williams","WR","DET",26,61,4,56,66
"60",60,"Pat Freiermuth","TE","PIT",5,61,4,64,58
"61",61,"Kenny Pickett","QB","PIT",17,61.5,4,63,60
"62",62,"DJ Moore","WR","CHI",27,63,4,58,68
"63",63,"Jordan Love","QB","GB",18,64.5,4,73,56
"64",64,"James Cook","RB","BUF",14,65.5,4,69,62
"65",65,"Dalton Kincaid","TE","BUF",6,65.5,4,79,52
"66",66,"Dallas Goedert","TE","PHI",7,67.5,4,74,61
"67",67,"Jahan Dotson","WR","WAS",28,68.5,4,53,84
"68",68,"D'Andre Swift","RB","PHI",15,69,4,68,70
"69",69,"Brandon Aiyuk","WR","SF",29,69,4,66,72
"70",70,"Michael Pittman","WR","IND",30,71.5,4,80,63
"71",71,"Javonte Williams","RB","DEN",16,72,4,61,83
"72",72,"Desmond Ridder","QB","ATL",19,74,5,71,77
"73",73,"George Kittle","TE","SF",8,75,5,76,74
"74",74,"DeAndre Hopkins","WR","FA",31,75.5,5,65,86
"75",75,"Rashod Bateman","WR","BAL",32,75.5,5,70,81
"76",76,"Terry McLaurin","WR","WAS",33,76,4,81,71
"77",77,"Zay Flowers","WR","BAL",34,76,4,83,69
"78",78,"Jared Goff","QB","DET",20,77,5,72,82
"79",79,"Marquise Brown","WR","ARI",35,78.5,5,77,80
"80",80,"Diontae Johnson","WR","PIT",36,79.5,4,86,73
"81",81,"Nick Chubb","RB","CLE",17,80,5,82,78
"82",82,"Derrick Henry","RB","TEN",18,81.5,5,84,79
"83",83,"Trey Lance","QB","SF",21,81.5,5,106,57
"84",84,"Najee Harris","RB","PIT",19,82.5,5,89,76
"85",85,"Will Levis","QB","TEN",22,83,5,75,91
"86",86,"Derek Carr","QB","NO",23,84.5,5,94,75
"87",87,"Sam Howell","QB","WAS",24,87,5,67,107
"88",88,"Kirk Cousins","QB","MIN",25,87.5,5,78,97
"89",89,"Matthew Stafford","QB","LAR",26,88,5,87,89
"90",90,"Dameon Pierce","RB","HOU",20,89,5,88,90
"91",91,"Mac Jones","QB","NE",27,89.5,5,92,87
"92",92,"Aaron Rodgers","QB","NYJ",28,90.5,5,96,85
"93",93,"Geno Smith","QB","SEA",29,92.5,5,85,100
"94",94,"Mike Evans","WR","TB",37,95,6,102,88
"95",95,"Trey McBride","TE","ARI",9,97,6,101,93
"96",96,"Aaron Jones","RB","GB",21,97.5,6,103,92
"97",97,"Keenan Allen","WR","LAC",38,99.5,6,104,95
"98",98,"Kadarius Toney","WR","KC",39,100.5,6,99,102
"99",99,"Marvin Mims","WR","DEN",40,100.5,6,93,108
"100",100,"Evan Engram","TE","JAC",10,104,6,107,101
"101",101,"Brock Purdy","QB","SF",30,106.5,6,98,115
"102",102,"AJ Dillon","RB","GB",22,107,6,111,103
"103",103,"Jalin Hyatt","WR","NYG",41,108.5,6,123,94
"104",104,"Kendre Miller","RB","NO",23,109,6,95,123
"105",105,"Christian Kirk","WR","JAC",42,110,6,110,110
"106",106,"Michael Mayer","TE","LV",11,110,6,91,129
"107",107,"Zach Charbonnet","RB","SEA",24,110.5,6,122,99
"108",108,"Devon Achane","RB","MIA",25,111.5,6,97,126
"109",109,"Calvin Ridley","WR","JAC",43,112,6,108,116
"110",110,"Cole Kmet","TE","CHI",12,112,6,112,112
"111",111,"David Montgomery","RB","DET",26,112,6,115,109
"112",112,"Elijah Moore","WR","CLE",44,112.5,6,105,120
"113",113,"Wan'Dale Robinson","WR","NYG",45,113,6,113,113
"114",114,"Greg Dulcich","TE","DEN",13,114,6,114,114
"115",115,"Jimmy Garoppolo","QB","LV",31,114.5,6,133,96
"116",116,"Russell Wilson","QB","DEN",32,117,6,109,125
"117",117,"Rashaad Penny","RB","PHI",27,117,6,129,105
"118",118,"Rondale Moore","WR","ARI",46,118,6,125,111
"119",119,"Isiah Pacheco","RB","KC",28,119,7,120,118
"120",120,"Miles Sanders","RB","CAR",29,119.5,7,118,121
"121",121,"Tyler Allgeier","RB","ATL",30,121,6,144,98
"122",122,"Sam LaPorta","TE","DET",14,121,6,90,152
"123",123,"Cam Akers","RB","LAR",31,121.5,7,119,124
"124",124,"Dalvin Cook","RB","MIN",32,122.5,6,128,117
"125",125,"Tyjae Spears","RB","TEN",33,122.5,7,126,119
"126",126,"Rashee Rice","WR","KC",47,122.5,6,100,145
"127",127,"Brian Robinson","RB","WAS",34,123.5,7,117,130
"128",128,"Dalton Schultz","TE","HOU",15,130,7,156,104
"129",129,"Jakobi Meyers","WR","LV",48,132,7,137,127
"130",130,"Tyler Lockett","WR","SEA",49,132.5,7,131,134
"131",131,"Zach Evans","RB","LAR",35,132.5,7,143,122
"132",132,"Mike Williams","WR","LAC",50,133,7,160,106
"133",133,"Skyy Moore","WR","KC",51,133,7,135,131
"134",134,"Amari Cooper","WR","CLE",52,133.5,7,116,151
"135",135,"Alvin Kamara","RB","NO",36,134.5,7,141,128
"136",136,"Rachaad White","RB","TB",37,135.5,7,124,147
"137",137,"David Njoku","TE","CLE",16,136.5,7,138,135
"138",138,"Joe Mixon","RB","CIN",38,137.5,7,142,133
"139",139,"Baker Mayfield","QB","TB",33,139.5,7,139,140
"140",140,"Tyquan Thornton","WR","NE",53,140.5,7,145,136
"141",141,"Romeo Doubs","WR","GB",54,142,7,146,138
"142",142,"Khalil Herbert","RB","CHI",39,143.5,7,134,153
"143",143,"Gabe Davis","WR","BUF",55,145.5,7,147,144
"144",144,"Josh Downs","WR","IND",56,147.5,7,163,132
"145",145,"Chigoziem Okonkwo","TE","TEN",17,148.5,7,148,149
"146",146,"Cedric Tillman","WR","CLE",57,150.5,7,155,146
"147",147,"Darren Waller","TE","NYG",18,151,7,152,150
"148",148,"Darnell Washington","TE","PIT",19,151,7,165,137
"149",149,"Chase Brown","RB","CIN",40,151,7,140,162
"150",150,"Elijah Mitchell","RB","SF",41,152.5,8,149,156
"151",151,"Antonio Gibson","RB","WAS",42,154.5,8,150,159
"152",152,"Tank Bigsby","RB","JAC",43,155.5,7,132,179
"153",153,"Ryan Tannehill","QB","TEN",34,156,8,157,155
"154",154,"DeWayne McBride","RB","MIN",44,156,7,170,142
"155",155,"Mike Gesicki","TE","NE",20,159,8,161,157
"156",156,"Sean Tucker","RB","TB",45,159.5,7,171,148
"157",157,"Courtland Sutton","WR","DEN",58,160,8,159,161
"158",158,"Samaje Perine","RB","DEN",46,160,8,151,169
"159",159,"Damien Harris","RB","BUF",47,161,8,162,160
"160",160,"Israel Abanikanda","RB","NYJ",48,161.5,8,136,187
"161",161,"James Conner","RB","ARI",49,162.5,8,154,171
"162",162,"Chuba Hubbard","RB","CAR",50,162.5,8,153,172
"163",163,"Zay Jones","WR","JAC",59,163.5,7,173,154
"164",164,"Roschon Johnson","RB","CHI",51,163.5,8,127,200
"165",165,"John Metchie","WR","HOU",60,164,8,187,141
"166",166,"Tyler Scott","WR","",61,164,8,185,143
"167",167,"Alexander Mattison","RB","MIN",52,165.5,8,158,173
"168",168,"Devin Singletary","RB","HOU",53,165.5,8,167,164
"169",169,"Jamaal Williams","RB","NO",54,166,8,169,163
"170",170,"Brandin Cooks","WR","DAL",62,167,8,166,168
"171",171,"Noah Fant","TE","SEA",21,169,8,164,174
"172",172,"Trey Palmer","WR","",63,169,8,199,139
"173",173,"Curtis Samuel","WR","WAS",64,170,8,174,166
"174",174,"Darnell Mooney","WR","CHI",65,172.5,8,175,170
"175",175,"Michael Thomas","WR","NO",66,176.5,8,168,185
"176",176,"Raheem Mostert","RB","MIA",55,176.5,8,177,176
"177",177,"Jonathan Mingo","WR","CAR",67,174,8,121,227
"178",178,"Dawson Knox","TE","BUF",22,182,8,197,167
"179",179,"K.J. Osborn","WR","MIN",68,182.5,8,207,158
"180",180,"Odell Beckham","WR","BAL",69,184,9,184,184
"181",181,"Jerome Ford","RB","CLE",56,184.5,9,180,189
"182",182,"Kareem Hunt","RB","FA",57,185,8,190,180
"183",183,"Pierre Strong","RB","NE",58,185,8,178,192
"184",184,"Luke Musgrave","TE","GB",23,185.5,8,176,195
"185",185,"Allen Lazard","WR","NYJ",70,186.5,9,182,191
"186",186,"Jeff Wilson","RB","MIA",59,187.5,8,194,181
"187",187,"Evan Hull","RB","IND",60,188,9,211,165
"188",188,"Gerald Everett","TE","LAC",24,188.5,8,195,182
"189",189,"D'Onta Foreman","RB","CHI",61,189,9,192,186
"190",190,"JuJu Smith-Schuster","WR","NE",71,190.5,8,198,183
"191",191,"Isaiah Hodgins","WR","NYG",72,190.5,9,191,190
"192",192,"Hendon Hooker","QB","DET",35,190.5,9,172,209
"193",193,"Nico Collins","WR","HOU",73,191,9,181,201
"194",194,"Tyler Higbee","TE","LAR",25,194.5,9,201,188
"195",195,"Tyler Boyd","WR","CIN",74,194.5,9,186,203
"196",196,"Isaiah Likely","TE","BAL",26,198.5,9,200,197
"197",197,"Jayden Reed","WR","GB",75,197,8,130,264
"198",198,"Alec Pierce","WR","IND",76,199,9,202,196
"199",199,"Michael Gallup","WR","DAL",77,199.5,9,179,220
"200",200,"DJ Chark","WR","CAR",78,200,9,196,204
"201",201,"Mecole Hardman","WR","NYJ",79,204,9,230,178
"202",202,"Andrei Iosivas","WR","",80,200.5,9,224,177
"203",203,"Joshua Palmer","WR","LAC",81,205,9,217,193
"204",204,"Donovan Peoples-Jones","WR","CLE",82,205,9,216,194
"205",205,"Xavier Hutchinson","WR","HOU",83,204.5,9,234,175
"206",206,"Daniel Bellinger","TE","NYG",27,205.5,9,213,198
"207",207,"Albert Okwuegbunam","TE","DEN",28,205.5,9,205,206
"208",208,"Zack Kuntz","TE","NYJ",29,208.5,9,218,199
"209",209,"Chase Claypool","WR","CHI",84,211,10,209,213
"210",210,"Irv Smith","TE","CIN",30,211,9,189,233
"211",211,"Parris Campbell","WR","NYG",85,211.5,9,221,202
"212",212,"Nathaniel Dell","WR","",86,212,9,183,241
"213",213,"Khalil Shakir","WR","BUF",87,212.5,10,215,210
"214",214,"Kayshon Boutte","WR","NE",88,213.5,9,219,208
"215",215,"Juwan Johnson","TE","NO",31,214.5,10,210,219
"216",216,"Richie James","WR","KC",89,214.5,10,214,215
"217",217,"KJ Hamler","WR","DEN",90,216.5,10,222,211
"218",218,"Keaton Mitchell","RB","BAL",62,217,9,227,207
"219",219,"Clyde Edwards-Helaire","RB","KC",63,219,9,206,232
"220",220,"A.T. Perry","WR","",91,219,9,233,205
"221",221,"Leonard Fournette","RB","FA",64,219.5,10,223,216
"222",222,"Jerick McKinnon","RB","KC",65,220.5,9,204,237
"223",223,"Ezekiel Elliott","RB","FA",66,221,10,225,217
"224",224,"Michael Carter","RB","NYJ",67,223,10,232,214
"225",225,"Zamir White","RB","LV",68,223.5,10,229,218
"226",226,"Kenneth Gainwell","RB","PHI",69,228,10,235,221
"227",227,"Kenny McIntosh","RB","SEA",70,229.5,10,231,228
"228",228,"Hunter Henry","TE","NE",32,231,10,240,222
"229",229,"Gardner Minshew","QB","IND",36,231,10,226,236
"230",230,"Malik Willis","QB","TEN",37,232.5,10,253,212
"231",231,"Cordarrelle Patterson","RB","ATL",71,236,10,249,223
"232",232,"David Bell","WR","CLE",92,236.5,10,244,229
"233",233,"James Robinson","RB","NE",72,237,10,250,224
"234",234,"Hunter Renfrow","WR","LV",93,238,10,251,225
"235",235,"Hayden Hurst","TE","CAR",33,239,10,252,226
"236",236,"Bailey Zappe","QB","NE",38,239.5,10,239,240
"237",237,"Eric Gray","RB","NYG",73,241.5,10,228,255
"238",238,"Isaiah McKenzie","WR","IND",94,242,10,254,230
"239",239,"Tommy Tremble","TE","CAR",34,243,10,255,231
"240",240,"Jelani Woods","TE","IND",35,244.5,10,188,301
"241",241,"Justyn Ross","WR","KC",95,244.5,10,203,286
"242",242,"Darrell Henderson","RB","FA",74,245,10,256,234
"243",243,"Rashid Shaheed","WR","NO",96,247,10,193,301
"244",244,"Jordan Mason","RB","SF",75,248,10,258,238
"245",245,"Charlie Jones","WR","",97,249,10,241,257
"246",246,"Danny Gray","WR","SF",98,249.5,10,260,239
"247",247,"Taysom Hill","TE","NO",36,250,10,238,262
"248",248,"Hassan Haskins","RB","TEN",76,250,10,265,235
"249",249,"Zonovan Knight","RB","NYJ",77,250,10,242,258
"250",250,"Tim Patrick","WR","DEN",99,251.5,10,261,242
"251",251,"Marquez Valdes-Scantling","WR","KC",100,252.5,10,262,243
"252",252,"Terrace Marshall","WR","CAR",101,254,10,257,251
"253",253,"Cade Otton","TE","TB",37,254.5,10,263,246
"254",254,"Deuce Vaughn","RB","DAL",78,254.5,10,208,301
"255",255,"Sam Darnold","QB","SF",39,255,10,243,267
"256",256,"Taylor Heinicke","QB","ATL",40,255.5,10,264,247
"257",257,"Tucker Kraft","TE","GB",38,256.5,10,212,301
"258",258,"Latavius Murray","RB","BUF",79,257,10,266,248
"259",259,"DeVante Parker","WR","NE",102,258,10,267,249
"260",260,"Tyrion Davis-Price","RB","SF",80,258.5,10,273,244
"261",261,"Laviska Shenault","WR","CAR",103,259,10,268,250
"262",262,"Caleb Huntley","RB","ATL",81,260,10,275,245
"263",263,"Jaylen Warren","RB","PIT",82,260.5,10,220,301
"264",264,"Zach Ertz","TE","ARI",39,261,10,269,253
"265",265,"Isaiah Spiller","RB","LAC",83,261,10,259,263
"266",266,"Ronald Jones","RB","DAL",84,262,10,270,254
"267",267,"Nyheim Hines","RB","BUF",85,263,10,274,252
"268",268,"Corey Davis","WR","NYJ",104,263.5,10,271,256
"269",269,"Marlon Mack","RB","FA",86,267.5,10,276,259
"270",270,"Dontayvion Wicks","WR","",105,268.5,10,236,301
"271",271,"Kevin Harris","RB","NE",87,268.5,10,277,260
"272",272,"Michael Wilson","WR","ARI",106,269,10,237,301
"273",273,"Russell Gage","WR","TB",107,269.5,10,278,261
"274",274,"Adam Thielen","WR","CAR",108,270.5,10,272,269
"275",275,"Ty Chandler","RB","MIN",88,272,10,279,265
"276",276,"D'Ernest Johnson","RB","JAC",89,273,10,280,266
"277",277,"Tre Tucker","WR","",109,273,10,245,301
"278",278,"Chris Rodriguez, Jr.","RB","",90,273.5,11,246,301
"279",279,"Jake Haener","QB","NO",41,274,11,247,301
"280",280,"Parker Washington","WR","",110,274.5,11,248,301
"281",281,"Jameis Winston","QB","NO",42,274.5,10,281,268
"282",282,"Jarvis Landry","WR","FA",111,276,10,282,270
"283",283,"Allen Robinson","WR","PIT",112,277,10,283,271
"284",284,"Chase Edmonds","RB","TB",91,278,10,284,272
"285",285,"Foster Moreau","TE","NO",40,279,11,285,273
"286",286,"Greg Dortch","WR","ARI",113,280,11,286,274
"287",287,"Justice Hill","RB","BAL",92,281,11,287,275
"288",288,"Noah Gray","TE","KC",41,282,11,288,276
"289",289,"Gus Edwards","RB","BAL",93,284,11,290,278
"290",290,"Josh Reynolds","WR","DET",114,283,11,289,277
"291",291,"Quez Watkins","WR","PHI",115,285,11,291,279
"292",292,"Matt Corral","QB","CAR",43,286,11,292,280
"293",293,"Brevin Jordan","TE","HOU",42,287,11,293,281
"294",294,"Van Jefferson","WR","LAR",116,288,11,294,282
"295",295,"Tyler Conklin","TE","NYJ",43,289,11,295,283
"296",296,"Robert Woods","WR","HOU",117,290,11,296,284
"297",297,"Zach Wilson","QB","NYJ",44,291,11,297,285
"298",298,"Melvin Gordon","RB","FA",94,292.5,11,298,287
"299",299,"Tutu Atwell","WR","LAR",118,293.5,11,299,288
"300",300,"Kyren Williams","RB","LAR",95,294.5,11,300,289
