"","Rank","Player","POS","Team","PosRank","AVGRank","AVGTier","Siegele5.27"
"233",233,"A.T. Perry","WR","NO",92,233,10,233
"234",234,"Kenneth Gainwell","RB","PHI",73,235,10,235
"235",235,"Xavier Hutchinson","WR","HOU",93,234,10,234
"236",236,"Dontayvion Wicks","WR","GB",94,236,10,236
"237",237,"Michael Wilson","WR","ARI",95,237,10,237
"238",238,"Taysom Hill","TE","NO",34,238,10,238
"239",239,"Bailey Zappe","QB","NE",37,239,10,239
"240",240,"Hunter Henry","TE","NE",35,240,10,240
"241",241,"Zonovan Knight","RB","NYJ",74,242,10,242
"242",242,"Charlie Jones","WR","CIN",96,241,10,241
"243",243,"Sam Darnold","QB","SF",38,243,10,243
"244",244,"David Bell","WR","CLE",97,244,10,244
"245",245,"Tre Tucker","WR","LV",98,245,10,245
"246",246,"Chris Rodriguez, Jr.","RB","",75,246,11,246
"247",247,"Jake Haener","QB","NO",39,247,11,247
"248",248,"Parker Washington","WR","JAC",99,248,11,248
"249",249,"Cordarrelle Patterson","RB","ATL",76,249,11,249
"250",250,"James Robinson","RB","FA",77,250,11,250
"251",251,"Hunter Renfrow","WR","LV",100,251,11,251
"252",252,"Hayden Hurst","TE","CAR",36,252,11,252
"253",253,"Malik Willis","QB","TEN",40,253,11,253
"254",254,"Isaiah McKenzie","WR","IND",101,254,11,254
"255",255,"Tommy Tremble","TE","CAR",37,255,11,255
"256",256,"Darrell Henderson","RB","FA",78,256,11,256
"257",257,"Terrace Marshall","WR","CAR",102,257,11,257
"258",258,"Jordan Mason","RB","SF",79,258,11,258
"259",259,"Isaiah Spiller","RB","LAC",80,259,11,259
"260",260,"Danny Gray","WR","SF",103,260,11,260
"261",261,"Tim Patrick","WR","DEN",104,261,11,261
"262",262,"Marquez Valdes-Scantling","WR","KC",105,262,11,262
"263",263,"Cade Otton","TE","TB",38,263,11,263
"264",264,"Hassan Haskins","RB","TEN",81,265,11,265
"265",265,"Taylor Heinicke","QB","ATL",41,264,11,264
"266",266,"Latavius Murray","RB","BUF",82,266,11,266
"267",267,"DeVante Parker","WR","NE",106,267,11,267
"268",268,"Laviska Shenault","WR","CAR",107,268,11,268
"269",269,"Zach Ertz","TE","ARI",39,269,11,269
"270",270,"Ronald Jones","RB","DAL",83,270,11,270
"271",271,"Corey Davis","WR","NYJ",108,271,11,271
"272",272,"Adam Thielen","WR","CAR",109,272,11,272
"273",273,"Tyrion Davis-Price","RB","SF",84,273,11,273
"274",274,"Nyheim Hines","RB","BUF",85,274,11,274
"275",275,"Caleb Huntley","RB","ATL",86,275,11,275
"276",276,"Marlon Mack","RB","FA",87,276,11,276
"277",277,"Kevin Harris","RB","NE",88,277,11,277
"278",278,"Russell Gage","WR","TB",110,278,11,278
"279",279,"Ty Chandler","RB","MIN",89,279,11,279
"280",280,"D'Ernest Johnson","RB","JAC",90,280,11,280
"281",281,"Jameis Winston","QB","NO",42,281,11,281
"282",282,"Jarvis Landry","WR","FA",111,282,11,282
"283",283,"Allen Robinson","WR","PIT",112,283,11,283
"284",284,"Chase Edmonds","RB","TB",91,284,11,284
"285",285,"Foster Moreau","TE","NO",40,285,11,285
"286",286,"Greg Dortch","WR","ARI",113,286,11,286
"287",287,"Justice Hill","RB","BAL",92,287,11,287
"288",288,"Noah Gray","TE","KC",41,288,11,288
"289",289,"Gus Edwards","RB","BAL",93,290,11,290
"290",290,"Josh Reynolds","WR","DET",114,289,11,289
"291",291,"Quez Watkins","WR","PHI",115,291,11,291
"292",292,"Matt Corral","QB","CAR",43,292,11,292
"293",293,"Brevin Jordan","TE","HOU",42,293,11,293
"294",294,"Van Jefferson","WR","LAR",116,294,11,294
"295",295,"Tyler Conklin","TE","NYJ",43,295,11,295
"296",296,"Robert Woods","WR","HOU",117,296,11,296
"297",297,"Zach Wilson","QB","NYJ",44,297,11,297
"298",298,"Melvin Gordon","RB","FA",94,298,11,298
"299",299,"Tutu Atwell","WR","LAR",118,299,11,299
"300",300,"Kyren Williams","RB","LAR",95,300,11,300
